"","LST_day","LST_night","NDWI","NDVI","TMAX","TMIN","PRCP"
"2009-01-01",0.8196523,-5.6712055,-0.1085582,0.2119941,1.6886215,-6.3149207,2.03854117
"2009-01-09",-5.3650314,-18.0083738,0.1647166,0.1344741,-2.43738848,-14.49221734,7.9061402
"2009-01-17",-0.4650605,-9.7438596,0.1997114,0.1340793,-0.10635292,-11.74432594,1.93960227
"2009-01-25",-2.7311265,-10.901639,0.6386866,-0.0001405,-3.18464138,-11.85515175,10.90619194
"2009-02-02",2.978297,-7.5495045,0.3535428,0.0860089,3.5644661175,-7.6808275575,1.33136748
"2009-02-10",8.4748629,0.2107044,-0.0771528,0.2471253,8.046161985,-1.519144655,32.54461579
"2009-02-18",4.4166817,-9.009624,-0.0836268,0.214078,3.5556864425,-8.0677474225,4.53945938
"2009-02-26",7.7511482,-6.6612059,-0.1987132,0.2375628,5.77345764,-5.53161294,17.64515128
"2009-03-06",15.3423413,0.2222742,-0.1371777,0.2407836,13.72887813,1.04495909,44.43212257
"2009-03-14",20.4020991,0.5531945,-0.1915832,0.2580747,16.86898624,0.71882413,2.78199285
"2009-03-22",15.5678887,2.2370331,-0.0064099,0.2067218,14.95924017,3.62175121,38.42047076
"2009-03-30",16.5852384,0.4914828,-0.1314895,0.2907109,14.19285356,1.21015905,30.65977698
"2009-04-07",18.2517907,-1.5067404,-0.1499701,0.2965153,13.66016186,0.34738576,33.33743296
"2009-04-15",23.7048656,2.1190867,-0.1600286,0.3023115,18.4224034,4.14275561,27.2522445
"2009-04-23",25.7740033,8.52789075,-0.0527167,0.2520068,23.78100859,11.0281911,51.42172571
"2009-05-01",26.819865,11.765155,-0.0998947,0.3405587,22.69491356,10.89179543,25.95738859
"2009-05-09",24.5836272,7.8608422,-0.122508,0.3433391,22.17908405,9.56248391,68.59831549
"2009-05-17",30.613325,9.5206646,-0.1345562,0.3268404,26.11758943,10.64372532,1.21281144
"2009-05-25",32.8912415,11.8393689,-0.1254154,0.3627921,26.82018458,13.58234154,35.58621337
"2009-06-02",31.3650143,10.9761724,-0.1056471,0.3393161,26.77726147,12.71427996625,28.27449063
"2009-06-10",30.6970077,15.4753155,-0.0314524,0.4029754,26.86393685,15.9585752525,38.50624555
"2009-06-18",34.5368964,21.6351736,-0.0214832,0.4928218,32.78685569,21.33021056875,38.28178324
"2009-06-26",33.5914874,17.1546994,0.0277651,0.5488537,29.77099756,17.302026345,8.12270332
"2009-07-04",28.9855553,16.6179029,0.1653,0.637388,27.60788073,17.04245376125,43.51267831
"2009-07-12",27.8118396,15.2528896,0.2402135,0.7226808,26.63236392,15.7919332675,26.04232092
"2009-07-20",26.6185587,14.8277532,0.2997631,0.7616145,26.68530294,15.56477770375,23.16239435
"2009-07-28",25.2565949,15.2143276,0.3360989,0.814864,26.67162341,15.94760118,17.65148229
"2009-08-05",27.4131447,17.4361858,0.3552543,0.8583187,28.67710816,18.01522955,21.30684882
"2009-08-13",27.4854608,16.3371083,0.3713097,0.860852,28.70267395,17.53722162,43.81902606
"2009-08-21",24.0657541,13.2291022,0.3650997,0.8379981,25.2165551,14.31992547,27.94130453
"2009-08-29",23.4358993,10.6394848,0.3550183,0.834065,23.50972106,11.12501586,5.51689345
"2009-09-06",25.1364313,14.1710274,0.3092736,0.801463,25.91732722125,14.54831072375,12.2763775
"2009-09-14",25.3963733,11.7117756,0.2461854,0.727781,25.6102091125,12.5101375775,15.95533456
"2009-09-22",23.1070457,11.0995145,0.111618,0.6037844,23.06493658375,12.95959549125,19.96876513
"2009-09-30",20.7526819,5.5506191,0.0326174,0.5102096,18.340267235,6.139184235,24.01143911
"2009-10-08",15.94893185,3.1324933,0.0462742,0.2960941,12.75298878875,3.54633663625,63.769188
"2009-10-16",17.7539047,1.9111346,-0.1147855,0.3498275,15.8735773025,4.5370699975,41.42881157
"2009-10-24",14.29927585,5.86539485,-0.0980246,0.3039282,15.63359664625,6.58213153875,54.90409111
"2009-11-01",17.887319,3.6226664,-0.1884983,0.2749218,16.8951448,3.25847514,0.35748423
"2009-11-09",15.8260301,1.7174826,-0.165009,0.2568088,16.12580529,4.04540707,13.15599898
"2009-11-17",14.6229163,2.1192445,-0.1133474,0.2643885,12.40938576,3.21414156,27.28407656
"2009-11-25",10.7498236,0.4451119,-0.1520137,0.2619294,10.3662866522222,0.775018301111111,14.34022269
"2009-12-03",0.2343784,-7.7470955,-0.0975541,0.2369099,2.05972555444444,-6.28104181777778,25.13373116
"2009-12-11",-0.7106707,-8.9888009,0.0497102,0.1975385,1.81140431666667,-7.26625827666667,8.04328552
"2009-12-19",-5.61913335,-9.95262861666667,0.1484986,0.0298252,1.49840510888889,-3.53346550888889,50.77677844
"2009-12-27",-4.1454469,-11.9739007333333,0.4553466,0.0775401,-1.42616954888889,-9.40845725111111,5.44369444
"2010-01-04",-8.39392673469388,-17.6777330612245,0.435069489795918,0.0768988775510204,-7.08311360884354,-16.4207860136054,6.84887426530612
"2010-01-12",-6.44892867346939,-9.6393943877551,0.632872346938775,0.00566081632653061,-2.29041293310658,-10.5369113492063,0.189063540816326
"2010-01-20",-0.00375295918367363,-6.46494244897959,0.191887142857143,0.0261920408163265,3.00258951814059,-2.28455654195011,21.9929206326531
"2010-01-28",-2.71253506802721,-9.7239900340136,0.323954795918367,0.106354387755102,-1.28698233333333,-9.48205111564626,4.78484702040816
"2010-02-05",-1.90873962585034,-10.2498396598639,0.331103163265306,0.101928469387755,0.570412945578231,-7.05783084353742,15.068051377551
"2010-02-13",-1.69175755102041,-13.3392779591837,0.615660408163265,0.0207621428571429,-1.11194693877551,-11.3182699387755,4.17565120408163
"2010-02-21",1.32901459183673,-11.368362244898,0.408604489795918,0.0803486734693878,2.77703535714286,-7.20502960204082,14.2146674693878
"2010-03-01",7.62825,-7.25799948979592,0.104285612244898,0.163683775510204,5.51982936734694,-5.90769081122449,0.0607261836734694
"2010-03-09",16.5213807142857,-2.49675673469388,-0.0380269387755102,0.19952693877551,14.0115621836735,1.08382168367347,25.769178244898
"2010-03-17",19.25324,1.34830357142857,-0.155642244897959,0.237981836734694,14.6253559285714,2.63985243877551,7.35501546938776
"2010-03-25",18.5278385714286,-0.946498367346939,-0.145882653061224,0.267708163265306,14.3573305816327,0.421729163265306,27.3076420918367
"2010-04-02",22.1958663265306,6.16856653061225,-0.168091428571429,0.277683673469388,22.4804046734694,7.96106324489796,21.7217387857143
"2010-04-10",28.7342375510204,4.97161989795918,-0.166511428571429,0.293934285714286,23.827037122449,6.74352046938776,10.9128324183673
